n_date,publish_date,headline_text,class_tag
2016-12-06,20161206,first koala spotted in 75 years in kosciuszko national park,0
2016-08-30,20160830,prime minister praises indigenous politicians,0
2016-02-01,20160201,blast rocks police base in kabul,0
2016-09-03,20160903,sanfl finals,0
2016-07-18,20160718,popular abc broadcaster jacquie mackay celebrates 20 years,0
2016-06-20,20160620,trump says us should consider racial profiling,0
2016-08-02,20160802,west perth fire asbestos fears emergency services,0
2016-06-02,20160602,sneeze driver spared jail over fatal crash,0
2016-12-19,20161219,parents long search for children lost in japans 2011 tsunami,0
2016-10-11,20161011,flood grants for gawler plains growers,0
2016-04-05,20160405,kyle coleman inquest told he was killed on camping trip,0
2016-09-06,20160906,spike in illegal fishing australian waters rising asian tension,0
2016-09-18,20160918,queenstown mine disaster sculpture heads for finishing touches,0
2016-03-09,20160309,maryborough forum puts spotlight on wide bay jobs,0
2016-02-01,20160201,democrats caucusing explained,0
2016-12-13,20161213,a man tried to fight me he won,0
2016-04-15,20160415,pm uses final day of china visit to raise concerns,0
2016-12-24,20161224,donald trump receives christmas letter from vladimir putin,0
2016-11-21,20161121,peter dutton open to accepting more refugees from syria,0
2016-08-08,20160808,what has free speech got to do with bill leaks,0
2016-09-21,20160921,where does australia rank on its refugee intake,0
2016-08-13,20160813,crown casino staff rally for respect,0
2016-05-26,20160526,western sydneys arash bordbar selected unhcr representative,0
2016-06-24,20160624,tourist living with life sentence after killing woman in crash,0
2016-10-25,20161025,university nsw students robocup challenge,0
2016-10-14,20161014,assault against former nt deputy leader estranged wife dropped,0
2016-05-03,20160503,north qld keen to share federal budget $5b infrastructure fund,0
2016-02-09,20160209,measles warning for brunswick after four people diagnosed,0
2016-10-04,20161004,nt to establish domestic violence court in alice springs,0
2016-05-26,20160526,police hunting for suspect after woman shot,0
2016-09-13,20160913,linguists discover humans have 'universal language',0
2016-09-26,20160926,taking sex from the bedroom to the classroom in,0
2016-10-23,20161023,nsw farmer eyes hemp as plant based milk popularity grows,0
2016-12-05,20161205,7.30 joins australian border force on an early,0
2016-08-01,20160801,rescue helicopter covers search area,0
2016-02-18,20160218,zika spread in tonga as tropical cyclone winston approaches,0
2016-05-27,20160527,brian saunders survives five days in gold coast bushland,0
2016-04-07,20160407,police should have seen signs of man haron monis radicalisation,0
2016-01-06,20160106,best education system putting stress on singaporean children,0
2016-12-18,20161218,drone mustering rockhampton cattle experiment,0
2016-06-13,20160613,state of origin queensland jacob lillyman gavin cooper,0
2016-12-06,20161206,a third of young people report race based mistreatment,0
2016-09-21,20160921,director curtis hanson found dead in home,0
2016-06-28,20160628,brexit germany france italy vow no informal talks,0
2016-03-25,20160325,canberra christian leaders deliver easter messages,0
2016-01-26,20160126,69 queenslanders honoured with australia day awards,0
2016-09-13,20160913,national party senator bridget mckenzie gay brother plebiscite,0
2016-02-16,20160216,federal labor mp gary gray will not contest election,0
2016-04-06,20160406,arrium shares suspended ahead of lender announcement,0
2016-12-14,20161214,stephanie alexander gives her tips for a stress,0
2016-05-07,20160507,east china sea collision leaves 17 missing; two dead,0
2016-10-20,20161020,hopkins on lamb roasts,0
2016-12-05,20161205,'stem cell tourism' sparks concerns for patient safety,0
2016-10-19,20161019,interview: political correspondent david lipson,0
2016-10-31,20161031,stirling hinchliffe claims service improvement despite new times,0
2016-10-31,20161031,court of appeal president margaret mcmurdo resigns,0
2016-11-21,20161121,aerotropolis key to successful development of western sydney,0
2016-11-12,20161112,teaching ethics with the spider's song,0
2016-02-08,20160208,the boy obsessed with the titanic childhood fixations,0
2016-03-23,20160323,australian built ww2 tank queensland museum,0
2016-10-14,20161014,rugby sevens supercoach sir gordon tietjens to,0
2016-01-29,20160129,empty quarter expedition trekkers complete from oman to qatar,0
2016-10-02,20161002,finance week ahead rba meets deutsche bank oil global markets,0
2016-01-25,20160125,financial planners will need degrees,0
2016-07-27,20160727,clinton official nominated as democratic candidate,0
2016-10-07,20161007,violent winds lash florida ahead of hurricane,0
2016-09-25,20160925,new app set could revolutionise outback health,0
2016-08-12,20160812,fashion designer toni maticevski open up archives,0
2016-06-07,20160607,former nrl player bemoans slippery slope of betting in sport,0
2016-01-31,20160131,adelaide surf life saving breaks down cultural barriers,0
2016-11-14,20161114,indigenous hiv rates double,0
2016-01-05,20160105,perth woman films video of shark strapped to safety bay bullbar,0
2016-05-20,20160520,umbrella festival to wake adelaide from winter hibernation,0
2016-05-29,20160529,pakistan bans broadcast advertising of contraceptives,0
2016-08-02,20160802,aussies hoping to meet nz in rio rugby sevens,0
2016-02-20,20160220,transgender sex worker ms fox perth court hiv transmission,0
2016-10-16,20161016,finance week china data deluge including gdp growth,0
2016-08-18,20160818,family finds missing marbles the cat after three years,0
2016-07-04,20160704,manly sea eagles beat st george illawarra dragons,0
2016-01-04,20160104,saudi arabia severs ties with iran,0
2016-07-25,20160725,mass shooting at us nightclub club blu,0
